City_ID,City,Country,Date,Latitude,Longitude,Cloudiness (%),Humidity (%),Max Temp (F),Wind Speed (mph)
65,hamilton,US,2023-11-13 13:54:56,39.1834,-84.5333,0,31,67.04600000000005,5.14
66,ganghwa-gun,KR,2023-11-13 13:56:05,37.7472,126.4856,100,71,33.961999999999954,0.96
67,ilulissat,GL,2023-11-13 13:56:05,69.2167,-51.1,75,63,23.288000000000046,7.2
68,petropavlovsk-kamchatsky,RU,2023-11-13 13:56:06,53.0452,158.6483,0,74,26.72599999999999,12.52
69,cable beach,,,,,,,,
70,tsetserleg,MN,2023-11-13 13:56:06,47.475,101.4542,99,81,10.867999999999984,1.81
71,aasiaat,GL,2023-11-13 13:56:06,68.7098,-52.8699,100,86,11.732000000000017,2.09
72,kangaba,ML,2023-11-13 13:56:06,11.9333,-8.4167,5,11,78.87200000000004,2.26
73,iqaluit,CA,2023-11-13 13:56:06,63.7506,-68.5145,20,70,-0.040000000000020464,2.57
74,kununurra,AU,2023-11-13 13:56:07,-15.7667,128.7333,42,100,75.45199999999997,0
75,stanley,GB,2023-11-13 13:55:14,54.868,-1.6985,40,86,48.056000000000026,10.29
76,gadzhiyevo,RU,2023-11-13 13:56:07,69.2551,33.3362,100,94,17.33000000000004,0.91
77,saipan,MP,2023-11-13 13:56:07,15.1355,145.701,20,83,83.37200000000004,6.69
78,isafjordur,IS,2023-11-13 13:56:07,66.0755,-23.124,85,83,36.96799999999998,4.33
79,moapa valley,US,2023-11-13 13:56:07,36.5805,-114.4703,99,12,73.94000000000003,0.29
80,east london,ZA,2023-11-13 13:56:08,-33.0153,27.9116,99,76,61.592,4.41
81,chisec,GT,2023-11-13 13:56:08,15.8167,-90.2833,99,92,86.50399999999996,0.5
82,aykhal,RU,2023-11-13 13:56:08,66,111.5,100,95,13.225999999999988,4.98
83,colonia menno,PY,2023-11-13 13:56:08,-22.3667,-59.8167,100,35,98.20399999999995,2.41
84,gonzales,US,2023-11-13 13:54:37,30.2385,-90.9201,100,98,63.319999999999965,2.06
85,tindouf,DZ,2023-11-13 13:56:09,27.6711,-8.1474,0,24,79.51999999999995,3.09
86,dryden,CA,2023-11-13 13:56:09,49.7833,-92.7503,0,65,37.958000000000006,3.6
87,forster,AU,2023-11-13 13:56:09,-32.1667,152.5167,1,75,68.64800000000002,3.28
88,nyurba,RU,2023-11-13 13:56:09,63.2842,118.3319,100,97,8.24000000000002,2.28
89,papatowai,NZ,2023-11-13 13:56:09,-46.5619,169.4708,31,58,57.55999999999998,2.93
90,springbok,ZA,2023-11-13 13:56:10,-29.6643,17.8865,0,12,74.76799999999999,4.99
91,margate,GB,2023-11-13 13:56:10,51.3813,1.3862,5,77,56.174000000000014,8.05
92,olonkinbyen,SJ,2023-11-13 13:56:10,70.9221,-8.7187,100,70,27.80600000000003,2.91
93,port elizabeth,ZA,2023-11-13 13:56:10,-33.918,25.5701,40,84,61.358000000000004,3.09
94,curvelo,BR,2023-11-13 13:56:00,-18.7564,-44.4308,21,23,91.58000000000004,1.55
95,dudinka,RU,2023-11-13 13:56:10,69.4058,86.1778,100,90,11.89399999999997,7.22
96,wailua homesteads,US,2023-11-13 13:54:47,22.0669,-159.378,20,68,81.30199999999998,7.72
97,sao vicente,BR,2023-11-13 13:56:11,-23.9631,-46.3919,40,54,106.25,4.12
98,aberdeen,GB,2023-11-13 13:56:11,57.1437,-2.0981,75,91,47.15600000000003,4.63
99,thompson,CA,2023-11-13 13:56:11,55.7435,-97.8558,100,80,30.632000000000016,5.14
100,saldanha,ZA,2023-11-13 13:56:11,-33.0117,17.9442,2,70,70.12400000000002,6.57
101,arno,SE,2023-11-13 13:56:11,60.1167,18.6333,100,97,37.05800000000001,3.49
102,sarikei,MY,2023-11-13 13:56:12,2.1167,111.5167,96,99,74.44399999999997,0.82
103,sodra sandby,SE,2023-11-13 13:56:12,56.5667,16.6167,82,92,36.158,3.62
104,taulaga,AS,2023-11-13 13:56:12,-11.0553,-171.0883,90,74,84.59600000000006,5.83
105,broken hill,AU,2023-11-13 13:55:45,-31.95,141.4333,100,36,65.82200000000003,6.05
106,adrar,MR,2023-11-13 13:56:12,20.5022,-10.0711,10,12,78.44000000000003,4.72
107,manta,EC,2023-11-13 13:56:13,-0.95,-80.7333,40,65,84.25399999999996,5.14
108,mujiayingzi,CN,2023-11-13 13:56:13,42.1167,118.7833,100,72,22.92799999999996,2.56
109,orcopampa,PE,2023-11-13 13:56:13,-15.2661,-72.3417,42,49,60.70999999999998,6.1
110,am timan,TD,2023-11-13 13:56:13,11.0297,20.2827,100,57,82.11199999999997,0.54
111,georgetown,MY,2023-11-13 13:51:33,5.4112,100.3354,20,94,77.28800000000004,0
112,srikakulam,IN,2023-11-13 13:56:13,18.3,83.9,100,79,72.91400000000004,3.12
113,holualoa,US,2023-11-13 13:56:14,19.6228,-155.9522,75,80,77.82799999999997,3.09
114,hermanus,ZA,2023-11-13 13:56:14,-34.4187,19.2345,3,78,61.17799999999997,8.98
115,badger,US,2023-11-13 13:56:14,64.8,-147.5333,100,91,26.74399999999997,2.57
116,mount gambier,AU,2023-11-13 13:56:14,-37.8333,140.7667,100,88,51.908,0.44
117,bereznik,RU,2023-11-13 13:56:14,62.8551,42.7072,100,98,33.27799999999996,2.51
118,punta arenas,CL,2023-11-13 13:56:15,-53.15,-70.9167,20,49,46.688000000000045,13.89
119,waremme,BE,2023-11-13 13:56:15,50.6979,5.256,40,81,52.969999999999956,9.26
120,coquimbo,CL,2023-11-13 13:56:15,-29.9533,-71.3436,0,55,68.0,1.54
121,buka,UZ,2023-11-13 13:56:15,40.8108,69.1986,0,39,47.13800000000005,2.07
122,zalishchyky,UA,2023-11-13 13:56:16,48.6447,25.7339,49,71,41.12599999999999,0.94
123,carutapera,BR,2023-11-13 13:55:34,-1.195,-46.02,26,75,80.29399999999998,3.64
124,kez,RU,2023-11-13 13:56:16,57.8979,53.7152,100,95,39.092,5.57
125,port douglas,AU,2023-11-13 13:56:16,-16.4833,145.4667,68,71,73.79600000000005,1.88
126,polyarnyy,RU,2023-11-13 13:56:16,69.1989,33.4478,100,93,18.085999999999967,0.83
127,villa alberto andres alvarado aramburo,,,,,,,,
128,carnarvon,AU,2023-11-13 13:56:17,-24.8667,113.6333,30,76,68.35999999999999,4.41
129,necochea,AR,2023-11-13 13:56:17,-38.5473,-58.7368,65,45,65.82200000000003,3.91
130,klyuchi,RU,2023-11-13 13:56:17,52.2667,79.1667,100,90,40.31600000000001,4.57
131,greenville,US,2023-11-13 13:54:07,35.6127,-77.3663,0,52,63.03200000000002,0
132,udachny,RU,2023-11-13 13:56:17,66.4167,112.4,100,78,19.72400000000001,3.67
133,fale old settlement,TK,2023-11-13 13:56:17,-9.3852,-171.2468,100,80,83.26400000000004,5.36
134,inirida,CO,2023-11-13 13:56:18,3.8653,-67.9239,100,85,82.868,1.03
135,kitimat,CA,2023-11-13 13:56:18,54.0524,-128.6534,56,63,40.94600000000005,0.89
136,naifaru,MV,2023-11-13 13:56:18,5.4444,73.3657,99,74,81.82400000000001,0.52
137,schonaich,DE,2023-11-13 13:56:18,48.65,9.0667,75,88,61.26799999999999,5.14
138,kaa-khem,RU,2023-11-13 13:56:18,51.6833,94.7333,100,96,13.675999999999988,0.96
139,toga village,,,,,,,,
140,simanggang,MY,2023-11-13 13:56:18,1.2472,111.4528,72,100,77.25199999999998,0
141,broome,US,2023-11-13 13:56:19,42.2506,-75.833,100,71,47.73200000000001,3.6
142,nemuro,JP,2023-11-13 13:56:19,43.3236,145.575,27,69,38.11999999999996,7.86
143,ta`u,AS,2023-11-13 13:56:19,-14.2336,-169.5144,89,83,82.34600000000006,3.88
144,invercargill,NZ,2023-11-13 13:56:19,-46.4,168.35,28,59,55.688000000000045,3.83
145,island harbour,GB,2023-11-13 13:56:19,50.724,-1.2758,39,85,57.2,3.58
146,tranovaho,,,,,,,,
147,west island,CC,2023-11-13 13:56:13,-12.1568,96.8225,100,78,79.05199999999998,3.6
148,antonio enes,MZ,2023-11-13 13:56:20,-16.2325,39.9086,83,77,78.458,2.85
149,tabriz,IR,2023-11-13 13:56:20,38.08,46.2919,20,46,51.530000000000044,2.06
150,port lincoln,AU,2023-11-13 13:56:20,-34.7333,135.8667,100,84,57.55999999999998,4.74
151,kataragama,,,,,,,,
152,shar,KZ,2023-11-13 13:56:21,49.5886,81.0453,100,94,36.122000000000035,3.83
153,lompoc,US,2023-11-13 13:54:16,34.6391,-120.4579,0,60,73.958,5.81
154,mount pearl,CA,2023-11-13 13:56:21,47.5166,-52.7813,100,81,32.41400000000003,2.06
155,vila franca do campo,PT,2023-11-13 13:56:21,37.7167,-25.4333,100,99,68.684,1.49
156,hasaki,JP,2023-11-13 13:56:21,35.7333,140.8333,0,47,43.46600000000001,6.59
157,labrador city,CA,2023-11-13 13:56:21,52.9463,-66.9114,100,86,17.78000000000004,1.54
158,dabrowa gornicza,PL,2023-11-13 13:56:21,50.3182,19.2374,100,90,42.54800000000002,4.05
159,kismayo,SO,2023-11-13 13:56:22,-0.3582,42.5454,100,80,81.33800000000005,4.3
160,fortuna,US,2023-11-13 13:56:22,40.5982,-124.1573,0,72,63.788000000000046,0
161,kuala tungkal,ID,2023-11-13 13:56:22,-0.8167,103.4667,37,85,79.30399999999995,1.19
162,kuala terengganu,MY,2023-11-13 13:56:22,5.3302,103.1408,40,94,79.01600000000002,1.03
163,sinabang,ID,2023-11-13 13:56:22,2.4803,96.3801,100,87,78.20600000000003,1.77
164,bilibino,RU,2023-11-13 13:56:23,68.0546,166.4372,99,100,-16.81600000000001,2.4
165,ugoofaaru,MV,2023-11-13 13:56:23,5.6667,73,99,73,82.292,1.18
166,zalegoshch',RU,2023-11-13 13:56:23,52.9008,36.8869,99,80,38.55199999999998,6.84
167,nakamura,JP,2023-11-13 13:56:23,32.9833,132.9333,3,80,44.07799999999996,1.82
168,port alfred,ZA,2023-11-13 13:56:23,-33.5906,26.891,97,86,61.44800000000002,1.34
169,dakhla,EH,2023-11-13 13:56:23,23.6848,-15.958,62,73,70.358,5.46
170,hammerfest,NO,2023-11-13 13:56:23,70.6634,23.6821,40,80,29.11999999999996,2.57
171,chardara,KZ,2023-11-13 13:56:24,41.2547,67.9692,0,42,47.01199999999996,2.85
172,sechura,PE,2023-11-13 13:56:24,-5.5569,-80.8222,16,57,80.52799999999996,8.5
173,mermoz boabab,SN,2023-11-13 13:56:24,14.7065,-17.4758,100,69,80.65399999999995,6.17
174,dali,CN,2023-11-13 13:56:24,25.7,100.1833,0,90,51.727999999999966,1.45
175,kollam,IN,2023-11-13 13:56:24,8.8833,76.6,82,81,78.38599999999997,0.59
176,ancud,CL,2023-11-13 13:56:24,-41.8697,-73.8203,30,54,50.26999999999996,6.75
177,ola,RU,2023-11-13 13:56:25,59.5833,151.2833,89,78,-6.591999999999999,5.45
178,luderitz,NA,2023-11-13 13:56:25,-26.6481,15.1594,0,49,69.31400000000004,5.16
179,happy valley-goose bay,CA,2023-11-13 13:56:25,53.3168,-60.3315,75,69,30.77599999999999,3.09
180,shakawe,BW,2023-11-13 13:56:25,-18.3667,21.85,48,21,85.424,1.99
181,rio blanco,MX,2023-11-13 13:56:25,18.8333,-97.15,59,81,71.99600000000005,3.05
182,breves,BR,2023-11-13 13:56:25,-1.6822,-50.4803,98,37,92.58800000000005,2.69
183,basco,PH,2023-11-13 13:56:26,20.4487,121.9702,86,73,78.22400000000002,12.67
184,portland,US,2023-11-13 13:51:02,45.5234,-122.6762,75,82,57.25399999999995,1.54
185,zeya,RU,2023-11-13 13:56:26,53.75,127.2667,59,72,14.756000000000029,1.16
186,nashtarud,,,,,,,,
187,atafu village,TK,2023-11-13 13:56:26,-8.5421,-172.5159,96,74,85.29800000000003,3.81
188,tommot,RU,2023-11-13 13:56:26,58.9564,126.2925,96,97,3.7400000000000198,0.96
189,puerto ayora,EC,2023-11-13 13:55:56,-0.7393,-90.3518,75,97,74.82200000000003,4.02
190,dunedin,NZ,2023-11-13 13:56:27,-45.8742,170.5036,53,74,57.50600000000003,2.46
191,hampton bays,US,2023-11-13 13:56:27,40.869,-72.5176,91,70,46.742,3.58
192,gia nghia,,,,,,,,
